customer_id,name,age,gender,country,plan_type,monthly_charge,tenure_months,watch_hours_per_week,num_profiles,logins_last_30_days,last_login_days_ago,preferred_genre,device_type,payment_method,payment_failures_3m,support_tickets,clv_score,clv_segment,churn_probability,churn,email
CUST00001,Warjas Bhalla,28,Male,Canada,Standard,499,28,1,1,13,3,Action,Tablet,Debit Card,0,0,6368.09,Medium,0.5442,1,warjas_bhalla@ymail.com
CUST00002,Kritika Patel,32,Female,UAE,Basic,199,17,10,4,15,0,Documentary,Laptop,Wallet,0,0,2900.1,Low,0.1427,0,kritika.patel@yahoo.com
CUST00003,Isha Krishna,41,Female,India,Basic,199,16,2,3,6,2,Documentary,Laptop,UPI,4,1,571.99,Low,0.8204,1,isha.krishna@ymail.com
CUST00004,Omisha Keer,26,Female,India,Basic,199,16,1.6,4,6,5,Documentary,Laptop,Debit Card,0,4,181.49,Low,0.943,1,omisha.keer@rediffmail.com
CUST00005,Leena Bose,46,Female,India,Standard,499,55,3.5,1,12,2,Comedy,Laptop,Credit Card,0,1,22757.66,High,0.1708,0,leena.bose@gmail.com
CUST00006,Abhiram Sehgal,45,Male,Singapore,Standard,499,34,8.5,3,14,13,Comedy,Mobile,Debit Card,2,1,13162.05,High,0.2242,1,abhiram743@rediffmail.com
CUST00007,Nikita Bir,28,Female,Canada,Premium,799,13,2.1,3,10,5,Thriller,Smart TV,Wallet,0,0,7799.89,Medium,0.2491,0,nikita_bir@yahoo.com
CUST00008,Mitali Garde,25,Other,India,Basic,199,29,1.6,2,8,5,Drama,Mobile,Debit Card,0,1,1362.01,Low,0.764,0,mitaligarde98@gmail.com
CUST00009,Falan Jhaveri,35,Other,India,Basic,199,23,0.5,2,14,2,Comedy,Tablet,Wallet,0,2,1372.84,Low,0.7001,0,falan_jhaveri@ymail.com
CUST00010,Rushil Sachar,27,Male,India,Basic,199,2,5.1,3,13,0,Drama,Smart TV,Debit Card,0,1,483.32,Low,0.5952,1,rushil_sachar@yahoo.com
CUST00011,Harinakshi Gera,20,Male,India,Basic,199,8,4.5,1,14,6,Drama,Mobile,Debit Card,0,0,1173.71,Low,0.2627,0,harinakshi.gera@gmail.com
CUST00012,Mahika Narayanan,40,Female,Canada,Standard,499,25,2.1,3,15,6,Romance,Mobile,Debit Card,0,2,7828.93,Medium,0.3724,0,mahika_narayanan@hotmail.com
CUST00013,Gavin Chanda,39,Male,India,Basic,199,52,0.5,1,13,3,Documentary,Mobile,UPI,2,4,470.63,Low,0.9545,1,gavin.chanda@gmail.com
CUST00014,Sai Sama,31,Other,India,Basic,199,16,4.5,1,8,2,Kids,Laptop,Wallet,0,0,2009.51,Low,0.3689,1,sai_sama@outlook.com
CUST00015,Krisha Dhar,19,Other,India,Standard,499,12,12.4,3,15,3,Comedy,Tablet,Credit Card,0,0,4024.26,Medium,0.3279,0,krisha_dhar@ymail.com
CUST00016,Falan Sarkar,20,Other,India,Standard,499,21,10.1,1,11,6,Drama,Laptop,UPI,0,0,9485.29,High,0.0948,0,falan.sarkar@rediffmail.com
CUST00017,Qabil Savant,30,Female,India,Basic,199,12,15.8,5,10,6,Romance,Mobile,Credit Card,1,0,1687.68,Low,0.2933,0,qabil_savant@gmail.com
CUST00018,Jai Kumer,26,Female,India,Standard,499,15,0.5,4,7,5,Romance,Mobile,Credit Card,0,3,1384.27,Low,0.8151,1,jai.kumer@gmail.com
